Name.text,Name.href,Rank,Acceptance Rate,High School GPA,property5
University of Colorado--Denver,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-colorado-denver-6740\%22,"#190, National Universities",75.87%,3.4,1205 / 26
University of Connecticut,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-connecticut-29013\%22,"#57, National Universities",44.71%,N/A,1330 / 30
University of Dallas,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-dallas-3651\%22,"#13, Regional Universities (West)",87.61%,3.7,1310 / 29
University of Dayton,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-dayton-3127\%22,"#112, National Universities",55.20%,3.6,1260 / 29
University of Delaware,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-delaware-1431\%22,"#75, National Universities",56.55%,3.8,1310 / 29
University of Denver,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-denver-1371\%22,"#91, National Universities",67.61%,3.7,1300 / 30
University of Detroit Mercy,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-detroit-mercy-2323\%22,"#25, Regional Universities (Midwest)",61.47%,3.5,1250 / 28
University of Dubuque,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-dubuque-1891\%22,"RNP, Regional Universities (Midwest)",77.28%,3,1040 / 23
University of Evansville,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-evansville-1795\%22,"#9, Regional Universities (Midwest)",80.06%,3.8,1250 / 29
University of Findlay,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-findlay-3045\%22,"#62, Regional Universities (Midwest)",68.32%,N/A,1160 / 26
University of Florida,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-florida-1535\%22,"#49, National Universities",44.10%,4,1360 / 31
University of Georgia,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-georgia-1598\%22,"#60, National Universities",56.08%,3.8,1330 / 30
University of Great Falls,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-great-falls-2527\%22,"Unranked, Regional Colleges (West)",83.70%,3.2,1090 / 23
University of Guam,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-guam-3935\%22,Unranked,N/A,N/A,N/A
University of Guelph,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-guelph-CA0017\%22,Unranked,N/A,N/A,N/A
University of Hartford,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-hartford-1422\%22,"#98, Regional Universities (North)",59.69%,N/A,1130 / 25
University of Hawaii--Hilo,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-hawaii-hilo-29020\%22,"RNP, National Liberal Arts Colleges",75.23%,N/A,1170 / 24
University of Hawaii--Manoa,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-hawaii-manoa-1610\%22,"#158, National Universities",81.17%,3.5,1190 / 27
University of Hawaii--Maui College,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-hawaii-maui-college-1615\%22,"Unranked, Regional Colleges (West)",N/A,N/A,N/A
University of Hawaii--West Oahu,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-hawaii-west-oahu-21078\%22,"Unranked, Regional Colleges (West)",51.43%,3.3,980 / 21
University of Houston,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-houston-3652\%22,"#190, National Universities",56.20%,N/A,1240 / 27
University of Houston--Clear Lake,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-houston-clear-lake-11711\%22,"Unranked, Regional Universities (West)",N/A,N/A,N/A
University of Houston--Downtown,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-houston-downtown-12826\%22,"RNP, Regional Colleges (West)",91.49%,N/A,970 / 20
University of Houston--Victoria,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-houston-victoria-13231\%22,"RNP, Regional Universities (West)",40.62%,N/A,N/A
University of Idaho,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-idaho-1626\%22,"#161, National Universities",65.66%,3.4,1190 / 26
University of Illinois--Chicago,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-illinois-chicago-1776\%22,"#128, National Universities",63.93%,3.3,1270 / 26
University of Illinois--Springfield,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-illinois-springfield-9333\%22,"#28, Regional Universities (Midwest)",56.37%,3.4,N/A / 26
University of Illinois--Urbana-Champaign,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-illinois-urbana-champaign-1775\%22,"#41, National Universities",63.34%,N/A,1470 / 31
University of Indianapolis,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-indianapolis-1804\%22,"#38, Regional Universities (Midwest)",84.43%,3.5,1120 / 25
University of Iowa,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-iowa-1892\%22,"#73, National Universities",78.44%,3.6,1320 / 28
University of Jamestown,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-jamestown-2990\%22,"#35, Regional Colleges (Midwest)",56.26%,3.2,1060 / 24
University of Kansas,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-kansas-1948\%22,"#101, National Universities",92.28%,3.5,N/A / 28
University of Kentucky,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-kentucky-1989\%22,"#119, National Universities",67.31%,3.6,1240 / 28
University of La Verne,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-la-verne-1216\%22,"#161, National Universities",38.95%,3.5,1130 / 25
University of Louisiana--Lafayette,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-louisiana-lafayette-2031\%22,"RNP, National Universities",60.36%,3.3,N/A / 25
University of Louisiana--Monroe,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-louisiana-monroe-2020\%22,"RNP, Regional Universities (South)",91.25%,N/A,1110 / 24
University of Louisville,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-louisville-1999\%22,"#161, National Universities",76.29%,3.5,1260 / 28
University of Maine,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-maine-2053\%22,"#167, National Universities",81.06%,3.4,1200 / 26
University of Maine--Augusta,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-maine-augusta-6760\%22,"Unranked, Regional Colleges (North)",93.37%,N/A,N/A
University of Maine--Farmington,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-maine-farmington-2040\%22,"Unranked, Regional Colleges (North)",87.45%,N/A,1095 / 25
University of Maine--Fort Kent,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-maine-fort-kent-2041\%22,"#39, Regional Colleges (North)",56.68%,3,1000 / 21
University of Maine--Machias,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-maine-machias-2055\%22,"RNP, National Liberal Arts Colleges",82.58%,N/A,1020 / 25
University of Maine--Presque Isle,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-maine-presque-isle-2033\%22,"#41, Regional Colleges (North)",79.89%,N/A,N/A
University of Mary,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-mary-2992\%22,"#86, Regional Universities (Midwest)",75.22%,N/A,N/A
University of Mary Hardin-Baylor,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-mary-hardin-baylor-3588\%22,"#54, Regional Universities (West)",93.23%,N/A,1120 / 25
University of Mary Washington,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-mary-washington-3746\%22,"#13, Regional Universities (South)",76.83%,3.5,1230 / 27
University of Maryland--Baltimore,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-maryland-baltimore-2104\%22,Unranked,N/A,N/A,N/A
University of Maryland--Baltimore County,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-maryland-baltimore-county-2105\%22,"#158, National Universities",60.35%,3.7,1320 / 29
University of Maryland--College Park,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-maryland-college-park-2103\%22,"#62, National Universities",46.82%,4,1410
University of Maryland--Eastern Shore,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-maryland-eastern-shore-2106\%22,"RNP, Regional Universities (North)",57.50%,2.8,960 / 19
University of Maryland--University College,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-maryland-university-college-11644\%22,"Unranked, Regional Universities (North)",99.97%,N/A,N/A
University of Massachusetts--Amherst,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-massachusetts-amherst-2221\%22,"#91, National Universities",62.55%,3.7,1290 / 28
University of Massachusetts--Boston,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-massachusetts-boston-2222\%22,"RNP, National Universities",61.39%,3.2,1170
University of Massachusetts--Dartmouth,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-massachusetts-dartmouth-2210\%22,"#87, Regional Universities (North)",72.13%,3.2,1160 / 25
University of Massachusetts--Lowell,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-massachusetts-lowell-2161\%22,"#158, National Universities",65.81%,3.3,1230 / 27
University of Medicine and Dentistry of New Jersey,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-medicine-and-dentistry-of-new-jersey-10394\%22,Unranked,N/A,N/A,N/A
University of Memphis,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-memphis-3509\%22,"RNP, National Universities",64.66%,3.3,1160 / 25
University of Miami,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-miami-1536\%22,"#47, National Universities",39.70%,4,1420 / 32
University of Michigan--Ann Arbor,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-michigan-ann-arbor-9092\%22,"#28, National Universities",36.55%,3.8,1460 / 32
University of Michigan--Dearborn,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-michigan-dearborn-2326\%22,"#36, Regional Universities (Midwest)",60.50%,3.6,N/A / 27
University of Michigan--Flint,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-michigan-flint-2327\%22,"#92, Regional Universities (Midwest)",73.81%,3.3,1390 / 25
University of Minnesota--Crookston,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-minnesota-crookston-4069\%22,"#38, Regional Colleges (Midwest)",72.62%,3.2,1120 / 25
University of Minnesota--Duluth,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-minnesota-duluth-2388\%22,"#42, Regional Universities (Midwest)",77.69%,3.4,1180 / 26
University of Minnesota--Morris,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-minnesota-morris-2389\%22,"#154, National Liberal Arts Colleges",60.03%,3.6,1320 / 28
University of Minnesota--Twin Cities,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-minnesota-twin-cities-3969\%22,"#69, National Universities",49.51%,N/A,1430 / 30
University of Mississippi,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-mississippi-2440\%22,"#150, National Universities",61.05%,3.4,1200 / 27
University of Mississippi Medical Center,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-mississippi-medical-center-4688\%22,Unranked,N/A,N/A,N/A
University of Missouri,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-missouri-2516\%22,"#97, National Universities",81.46%,N/A,1290 / 28
University of Missouri--Kansas City,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-missouri-kansas-city-2518\%22,"#201, National Universities",67.59%,3.3,1380 / 27
University of Missouri--St. Louis,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-missouri-st-louis-2519\%22,"RNP, National Universities",68.65%,3.4,1270 / 27
University of Mobile,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-mobile-1029\%22,"#27, Regional Colleges (South)",80.35%,3.5,1298 / 25
University of Montana,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-montana-2536\%22,"#201, National Universities",95.35%,3.3,1200 / 26
University of Montana--Western,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-montana-western-2537\%22,"#17, Regional Colleges (West)",75.21%,3,1110 / 22
University of Montevallo,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-montevallo-1004\%22,"#36, Regional Universities (South)",87.29%,3.3,N/A / 26
University of Mount Union,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-mount-union-3083\%22,"#6, Regional Colleges (Midwest)",72.28%,N/A,1140 / 25
University of Nebraska Medical Center,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-nebraska-medical-center-6895\%22,Unranked,N/A,N/A,N/A
University of Nebraska--Kearney,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-nebraska-kearney-2551\%22,"#48, Regional Universities (Midwest)",85.33%,3.4,1190 / 25
University of Nebraska--Lincoln,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-nebraska-lincoln-2565\%22,"#101, National Universities",64.37%,N/A,1340 / 29
University of Nebraska--Omaha,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-nebraska-omaha-2554\%22,"RNP, National Universities",80.03%,3.4,N/A / 26
University of Nevada--Las Vegas,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-nevada-las-vegas-2569\%22,"RNP, National Universities",88.18%,3.2,1110 / 24
University of Nevada--Reno,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-nevada-reno-2568\%22,"#181, National Universities",82.99%,3.4,1180 / 26
University of New Brunswick,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-new-brunswick-CA0018\%22,Unranked,N/A,N/A,N/A
University of New England,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-new-england-2050\%22,"#87, Regional Universities (North)",86.13%,3.3,1160 / 26
University of New Hampshire,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-new-hampshire-2589\%22,"#97, National Universities",77.94%,N/A,1200 / 27
University of New Haven,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-new-haven-1397\%22,"#101, Regional Universities (North)",71.47%,3.3,1150 / 26
University of New Mexico,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-new-mexico-10313\%22,"#181, National Universities",64.58%,3.2,1210 / 25
University of New Orleans,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-new-orleans-2015\%22,"RNP, National Universities",49.18%,3.1,1255 / 25
University of North Alabama,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-north-alabama-1016\%22,"#80, Regional Universities (South)",78.50%,3.1,1085 / 24
University of North Carolina School of the Arts,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-north-carolina-school-of-the-arts-3981\%22,"Unranked, Arts Schools",45.21%,3.6,1240 / 26
University of North Carolina--Asheville,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-north-carolina-asheville-2907\%22,"#146, National Liberal Arts Colleges",63.82%,4,1290 / 27
University of North Carolina--Chapel Hill,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-north-carolina-chapel-hill-2974\%22,"#30, National Universities",27.59%,4,1400 / 32
University of North Carolina--Charlotte,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-north-carolina-charlotte-2975\%22,"#201, National Universities",68.52%,3.7,1160 / 25
University of North Carolina--Greensboro,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-north-carolina-greensboro-2976\%22,"#190, National Universities",60.00%,3.5,1120 / 22
University of North Carolina--Pembroke,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-north-carolina-pembroke-2954\%22,"#80, Regional Universities (South)",72.04%,3.3,1010 / 20
University of North Carolina--Wilmington,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-north-carolina-wilmington-2984\%22,"#15, Regional Universities (South)",54.19%,3.9,1250 / 26
University of North Dakota,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-north-dakota-3005\%22,"#173, National Universities",73.70%,3.3,N/A / 26
University of North Florida,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-north-florida-9841\%22,"#51, Regional Universities (South)",52.01%,3.7,1240 / 26
University of North Georgia,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-north-georgia-1585\%22,"#55, Regional Universities (South)",56.25%,3.5,1200 / 26
University of North Texas,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-north-texas-3594\%22,"RNP, National Universities",61.66%,N/A,1210 / 26
University of Northern Colorado,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-northern-colorado-1349\%22,"RNP, National Universities",89.07%,3.2,1170 / 25
University of Northern Iowa,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-northern-iowa-1890\%22,"#13, Regional Universities (Midwest)",77.51%,3.5,N/A / 25
University of Northwestern Ohio,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-northwestern-ohio-4861\%22,"Unranked, Regional Colleges (Midwest)",N/A,N/A,N/A
University of Northwestern--St. Paul,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-northwestern-st-paul-2371\%22,"#13, Regional Colleges (Midwest)",58.68%,3.5,1283 / 27
University of Notre Dame,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-notre-dame-1840\%22,"#18, National Universities",23.28%,N/A,1520 / 34
University of Oklahoma,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-oklahoma-3184\%22,"#101, National Universities",79.14%,3.6,1300 / 29
University of Oregon,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-oregon-3223\%22,"#109, National Universities",74.17%,3.6,1224
University of Ottawa,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-ottawa-CA0019\%22,Unranked,N/A,N/A,N/A
University of Pennsylvania,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-pennsylvania-3378\%22,"#7, National Universities",12.60%,3.9,1540 / 34
University of Phoenix,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-phoenix-209885\%22,"Unranked, National Universities",N/A,N/A,N/A
University of Pikeville,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-pikeville-1980\%22,"RNP, National Liberal Arts Colleges",100.00%,3.1,N/A / 22
University of Pittsburgh,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-pittsburgh-3379\%22,"#62, National Universities",56.13%,3.9,1340 / 30
University of Portland,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-portland-3224\%22,"#8, Regional Universities (West)",66.52%,3.6,1290
University of Prince Edward Island,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-prince-edward-island-CA0020\%22,Unranked,N/A,N/A,N/A
University of Puerto Rico--Aguadilla,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-puerto-rico-aguadilla-12123\%22,Unranked,N/A,N/A,N/A
University of Puerto Rico--Arecibo,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-puerto-rico-arecibo-7228\%22,Unranked,N/A,N/A,N/A
University of Puerto Rico--Bayamon,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-puerto-rico-bayamon-10975\%22,Unranked,N/A,N/A,N/A
University of Puerto Rico--Cayey,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-puerto-rico-cayey-7206\%22,Unranked,N/A,N/A,N/A
University of Puerto Rico--Humacao,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-puerto-rico-humacao-3943\%22,Unranked,N/A,N/A,N/A
University of Puerto Rico--Mayaguez,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-puerto-rico-mayaguez-3944\%22,Unranked,N/A,N/A,N/A
University of Puerto Rico--Medical Sciences Campus,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-puerto-rico-medical-sciences-campus-24600\%22,Unranked,N/A,N/A,N/A
University of Puerto Rico--Ponce,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-puerto-rico-ponce-9652\%22,Unranked,N/A,N/A,N/A
University of Puerto Rico--Rio Piedras,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-puerto-rico-rio-piedras-7108\%22,Unranked,N/A,N/A,N/A
University of Puget Sound,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-puget-sound-3797\%22,"#76, National Liberal Arts Colleges",82.65%,N/A,1348 / 30
University of Redlands,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-redlands-1322\%22,"#12, Regional Universities (West)",68.85%,3.6,1240 / 26
University of Regina,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-regina-CA0021\%22,Unranked,N/A,N/A,N/A
University of Rhode Island,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-rhode-island-3414\%22,"#152, National Universities",76.92%,3.3,1180 / 26
University of Richmond,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-richmond-3744\%22,"#25, National Liberal Arts Colleges",30.31%,N/A,1420 / 32
University of Rio Grande,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-rio-grande-3116\%22,"Unranked, Regional Universities (Midwest)",43.75%,N/A,N/A
University of Rochester,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-rochester-2894\%22,"#32, National Universities",35.32%,3.8,1440 / 32
University of San Diego,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-san-diego-10395\%22,"#91, National Universities",42.59%,3.9,1320 / 30
University of San Francisco,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-san-francisco-1325\%22,"#117, National Universities",69.16%,3.6,1250 / 27
University of Saskatchewan,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-saskatchewan-CA0022\%22,Unranked,N/A,N/A,N/A
University of Science and Arts of Oklahoma,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-science-and-arts-of-oklahoma-3167\%22,"RNP, National Liberal Arts Colleges",38.53%,3.4,N/A / 25
University of Scranton,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-scranton-3384\%22,"#8, Regional Universities (North)",68.81%,3.4,1220 / 26
University of Sioux Falls,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-sioux-falls-3469\%22,"#35, Regional Colleges (Midwest)",55.50%,3.4,1030 / 26
University of South Alabama,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-south-alabama-1057\%22,"RNP, National Universities",87.19%,3.4,1150 / 25
University of South Carolina,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-south-carolina-3448\%22,"#112, National Universities",60.60%,4,1290 / 29
University of South Carolina--Aiken,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-south-carolina-aiken-3449\%22,"#23, Regional Colleges (South)",51.24%,3.6,1080 / 23
University of South Carolina--Beaufort,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-south-carolina-beaufort-3450\%22,"#66, Regional Colleges (South)",73.04%,3.3,1030
University of South Carolina--Upstate,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-south-carolina-upstate-6951\%22,"#29, Regional Colleges (South)",64.21%,2.5,1060 / 22
University of South Dakota,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-south-dakota-10300\%22,"#190, National Universities",88.56%,3.4,1230 / 26
University of South Florida,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-south-florida-1537\%22,"#170, National Universities",43.20%,3.9,1270 / 28
University of South Florida--St. Petersburg,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-south-florida-st-petersburg-153701\%22,"#80, Regional Universities (South)",45.84%,3.6,1140 / 24
University of Southern California,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-southern-california-1328\%22,"#23, National Universities",19.93%,3.7,1480 / 33
University of Southern Indiana,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-southern-indiana-1808\%22,"RNP, Regional Universities (Midwest)",71.75%,3.2,1110 / 24
University of Southern Maine,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-southern-maine-9762\%22,"RNP, Regional Universities (North)",82.80%,N/A,N/A
University of Southern Mississippi,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-southern-mississippi-2441\%22,"RNP, National Universities",64.74%,3.2,1150 / 25
University of St. Francis,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-st-francis-1664\%22,"#38, Regional Universities (Midwest)",51.57%,3.4,1080 / 25
University of St. Francis,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-st-francis-1832\%22,"#86, Regional Universities (Midwest)",50.98%,3.2,1050 / 23
University of St. Joseph,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-st-joseph-1409\%22,"#95, Regional Universities (North)",79.53%,3.3,1060 / 23
University of St. Mary,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-st-mary-1943\%22,"RNP, Regional Universities (Midwest)",46.66%,3.2,1050 / 25
University of St. Thomas,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-st-thomas-2345\%22,"#112, National Universities",86.67%,3.6,1310 / 28
University of St. Thomas,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-st-thomas-3654\%22,"#33, Regional Universities (West)",79.95%,3.6,1238 / 28
University of Tampa,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-tampa-1538\%22,"#22, Regional Universities (South)",58.95%,3.3,1160 / 26
University of Tennessee,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-tennessee-3530\%22,"#101, National Universities",67.32%,3.9,1290 / 29
University of Tennessee--Chattanooga,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-tennessee-chattanooga-3529\%22,"#49, Regional Universities (South)",76.28%,3.4,1150 / 25
University of Tennessee--Martin,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-tennessee-martin-3531\%22,"#46, Regional Universities (South)",75.55%,3.5,N/A / 24
University of Texas Health Science Center--Houston,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-texas-health-science-center-houston-4951\%22,Unranked,N/A,N/A,N/A
University of Texas Health Science Center--San Antonio,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-texas-health-science-center-san-antonio-3659\%22,Unranked,N/A,N/A,N/A
University of Texas Medical Branch--Galveston,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-texas-medical-branch-galveston-4952\%22,Unranked,N/A,N/A,N/A
University of Texas of the Permian Basin,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-texas-of-the-permian-basin-9930\%22,"#90, Regional Universities (West)",86.40%,N/A,1120 / 23
University of Texas--Arlington,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-texas-arlington-3656\%22,"RNP, National Universities",58.53%,N/A,1200 / 26
University of Texas--Austin,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-texas-austin-3658\%22,"#52, National Universities",46.75%,N/A,1380 / 31
University of Texas--Brownsville,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-texas-brownsville-30646\%22,"Unranked, Regional Universities (West)",100.00%,2.8,N/A
University of Texas--Dallas,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-texas-dallas-9741\%22,"#142, National Universities",51.97%,3.9,1390 / 31
University of Texas--El Paso,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-texas-el-paso-3661\%22,"RNP, National Universities",99.81%,3.2,1030 / 22
University of Texas--Pan American,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-texas-pan-american-3599\%22,"#75, Regional Universities (West)",62.17%,N/A,1050 / 21
University of Texas--San Antonio,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-texas-san-antonio-10115\%22,"RNP, National Universities",73.27%,N/A,1160 / 25
University of Texas--Tyler,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-texas-tyler-11163\%22,"#66, Regional Universities (West)",79.52%,3.4,1170 / 25
University of the Arts,http://premium.usnews.com/best-colleges/\%22/best-colleges/university-of-the-arts-3350\%22,"Unranked, Arts Schools",69.28%,2.9,1120 / 26
