ID	Name	Median SAT score	Graduation rate	Retention rate
777	Central Penn College	1055	54	52
778	Central State University	800	27	50
779	Central Washington University	985	53	76
780	Centre College	1252	87	91
781	Chadron State College		43	67
782	Chamberlain College of Nursing
783	Chaminade University of Honolulu	975	36	69
784	Champlain College	1118	66	76
785	Chancellor University		8	45
786	Chapman University	1216	72	91
787	Charles R. Drew University of Medicine and Science
788	Charter Oak State College
789	Chatham University	1068	59	72
790	Chestnut Hill College	985	47	71
791	Cheyney University of Pennsylvania	757	22	56
792	Chicago State University		21	58
793	Chipola College
794	Chowan University	798	24	44
795	Christendom College
796	Christian Brothers University		60	75
797	Christopher Newport University	1164	67	83
798	Cincinnati Christian University
799	Cincinnati College of Mortuary Science
800	City University of Seattle		21
801	Claflin University	879	44	73
802	Clarion University of Pennsylvania	953	50	70
803	Clarkson College
804	Clayton State University	934	28	66
805	Clear Creek Baptist Bible College
806	Clearwater Christian College	1051	45	68
807	Cleary University		46
808	Cleveland Chiropractic College
809	Cleveland Institute of Art	1066	55	82
810	Cleveland Institute of Music		73
811	Cogswell Polytechnical College	1110	44	67
812	Coker College	970	56	72
813	Colby-Sawyer College		60	72
814	College for Creative Studies	990	60	75
815	College of Idaho	1068	64	81
816	College of Mount St. Joseph	962	58	72
817	College of Mount St. Vincent	911	57	73
818	College of New Rochelle		31	60
819	College of Our Lady of the Elms	988	68
820	College of Saints John Fisher & Thomas More		33	33
821	College of Southern Nevada
822	College of St. Elizabeth		62	64
823	College of St. Joseph	850	54	53
824	College of St. Mary		37	64
825	College of St. Rose	1042	65	80
826	College of St. Scholastica	1092	65	80
827	College of the Atlantic	1269	64	85
828	College of the Holy Cross	1305	93	95
829	Colorado Mesa University	968	29	65
830	Colorado Technical University		9
831	Columbia College - Columbia, MO		40
832	Columbia College - Columbia, SC	1002	48	60
833	Columbia College of Nursing
834	Columbia International University	1094	69	81
835	Columbus College of Art and Design	990	60	79
836	Columbus State University	989	34	68
837	Conception Seminary College
838	Concord University	968	37	63
839	Concordia College - Selma, AL		8	39
840	Concordia College - Bronxville, NY	913	48	69
841	Concordia University - Ann Arbor, MI		44	60
842	Concordia University - Seward, NE	1060	64	77
843	Concordia University - Irvine, CA	1039	52	75
844	Concordia University - Portland, OR	1006	45	70
845	Concordia University - Montreal, Quebec
846	Concordia University Chicago	677	49	67
847	Concordia University Texas	996	35	55
848	Concordia University Wisconsin	977	59	78
849	Concordia University--St. Paul		46	69
